The Collections reverse() method can reverse the elements in a Java List.,"(""[Collections"", ""hasMethod"", ""reverse()]""); (""[List"", ""isReversedBy"", ""reverse()]"")"
Here is an example of finding the minimum element in a Java List using Collections min() method:,"(""Collections"", ""method"", ""min()""); (""List"", ""used in"", ""Collections.min()"")"
"Notice too, that the compareTo() method should throw a NullPointerException if the parameter object is null.",
The LinkedList class is a pretty standard Deque and Queue implementation.,"(""LinkedList"", ""is a"", ""Deque""); (""LinkedList"", ""is a"", ""Queue"")"
You add elements to the beginning end of a Deque using the add() method.,"(""Deque"", ""uses"", ""add()"")"
"If the element cannot be inserted into the Deque, the add() method will throw an exception.",
"If the element cannot be inserted into the Deque, the addLast() method will throw an exception.",
To peek at the last element of a Java Deque you can use the getLast() method.,"(""Deque"", ""uses"", ""getLast()"")"
The remove() method removes the first element of a Java Deque.,"(""Deque"", ""hasMethod"", ""remove()"")"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().",
Here is an example of removing the last element from a Java Deque using the pollLast() method:,"(""Deque"", ""uses"", ""pollLast()"")"
The Java Deque size() method returns the number of elements stored in the Java Deque at the time you invoke the method.,"(""Deque"", ""hasMethod"", ""size()""); (""size()"", ""returns"", ""number of elements""); (""number of elements"", ""storedIn"", ""Deque""); (""size()"", ""invokedIn"", ""Deque"")"
"Because the Iterator has its generic type set to String, the Java compiler already knows that next() will return a String.",
"As you can see, a proper implementation of .equals() is essential for your own classes to work well with the Java Collection classes.",
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.",
"Then it uses a for-each loop to iterate the elements of the List, and print out the toString() value of each element.",
Here is an example of iterating the elements of an Iterable via its forEach() method:,"(""Iterable"", ""hasMethod"", ""forEach()"")"
"The reason the for-each loop is slower is, that each iteration will call the List iterator() method, which will create a new Iterator object.",
"In other words, if the Iterator has not yet iterated over all of the elements in the collection the Iterator was obtained from - the hasNext() method will return true.",
The first three add() calls add a String instance to the end of the list.,"(""add()"", ""adds"", ""String"")"
"The addAll() method takes a Collection as parameter, so you can pass either a List or Java Set as parameter.",
"Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).",
"This example creates a Map and stores three values in it using the keys A, B and C. Then the example calls the Map getOrDefault() method, passing the String E as key, along with a default value - the String default value.",
Since the Map does not contain any object stored by the key E the given default value will be returned - which is the String default value passed as the last parameter to the getOrDefault() method.,"(""Map"", ""does not contain"", ""object""); (""object"", ""stored by"", ""key E""); (""getOrDefault()"", ""returns"", ""default value""); (""default value"", ""is"", ""String default value""); (""getOrDefault()"", ""takes"", ""last parameter"")"
"As you can see, the key Iterator returns every key stored in a Java Map, one by one (one for each call to next()).",
The number of entries in a Java Map is also referred to as the Map size - hence the method name size() .,"(""Map"", ""hasMethod"", ""size()"")"
The isEmpty() method will return false if the Map instance contains 1 or more entries.,"(""Map"", ""hasMethod"", ""isEmpty()""); (""isEmpty()"", ""returns"", ""false""); (""Map"", ""contains"", ""entries""); (""entries"", ""hasCount"", ""1""); (""entries"", ""hasCount"", ""more"")"
Here is an example of creating an instance of the Java TreeMap class which implements the NavigableMap interface:,"(""TreeMap"", ""implements"", ""NavigableMap"")"
"The tailMap variable will reference a SortedMap containing all key + value pairs from the NavigableMap for the keys ""c"", ""d"" and ""e"", as these keys are considered equal to or larger than the parameter value ""c"" passed to the tailMap() method.",
The lowerEntry() method in the NavigableMap interface returns the key + value pair for the highest key which is lower than the parameter value passed to the lowerEntry() method.,"(""NavigableMap"", ""hasMethod"", ""lowerEntry()"")"
"The pollFirstEntry() method returns and removes the ""first"" entry (key + value) in the NavigableMap or null if the map is empty.",
"The descendingIterator() method allows you to iterate the elements of the NavigableSet (which is also a SortedSet) in reverse order, without changing the order of the elements internally.",
"To get properties from a Java Properties object you use the getProperty() method, passing the key of the property to get as parameter.",
"Using the InputStream you can load the file into a Java Properties instance, using either the load() or loadFromXML() methods explained earlier in this Java Properties tutorial.",
Here are two examples of taking an element from a Java Queue using its poll() and remove() methods:,"(""Queue"", ""hasMethod"", ""poll()""); (""Queue"", ""hasMethod"", ""remove()"")"
You can check if a Java Queue contains a certain element via its contains() method.,"(""Queue"", ""hasMethod"", ""contains()"")"
The Java Set interface as a method called removeAll() which removes all elements in the Set which are also present in another Collection.,"(""Set"", ""hasMethod"", ""removeAll()""); (""removeAll()"", ""removesElements"", ""Collection"")"
You can check the size of a Java Set using the size() method.,"(""Set"", ""hasMethod"", ""size()"")"
"You iterate the keys of a SortedMap by calling its keySet() method, like this:",
The SortedMap interface has a method named headMap() which returns a new Map which contains the first elements of the SortedMap according to the sort order used.,"(""SortedMap"", ""hasMethod"", ""headMap()""); (""headMap()"", ""returns"", ""Map""); (""Map"", ""contains"", ""first elements""); (""SortedMap"", ""uses"", ""sort order"")"
Here is an example of obtaining a submap from a Java SortedMap via its subMap() method:,"(""SortedMap"", ""hasMethod"", ""subMap()"")"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"(""Java Collections API"", ""has implementation"", ""java.util.TreeSet""); (""java.util.TreeSet"", ""implements"", ""Java SortedSet interface"")"
"Additionally, the Vector class uses several older (no longer recommended) parts of Java, like the Enumeration which is superseded by the Iterator interface.",
You push elements onto a Java Stack using its push() method.,"(""Stack"", ""uses"", ""push()"")"
Here is an example of obtaining the size of a Java Stack via its size() method:,"(""Stack"", ""hasMethod"", ""size()"")"
The lockWrite() method of a ReadWriteLock class shown below is an example of a test-and-set method.,"(""ReadWriteLock"", ""hasMethod"", ""lockWrite()"")"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"(""BoundedSemaphore"", ""hasMethod"", ""take()""); (""BoundedSemaphore"", ""hasMethod"", ""release()"")"
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"(""AtomicBoolean"", ""implements"", ""lock()"")"
"a stop() or pause() method too), then you can no longer create your Runnable implementation with a Java lambda expression.",
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.",
"Here are the two classes used in the example above, Counter and CounterThread.",
"The easiest way to create a subclass of ThreadLocal is to simply create an anonymous subclass, right where you create the ThreadLocal variable.",
"Here is an example of creating a ThreadLocal using its withInitial() static factory method, passing a simple Supplier implementation as parameter:",
Notice how the format() method calls the getThreadLocalSimpleDateFormat() method to obtain a Java SimpleDatFormat instance.,"(""format()"", ""calls"", ""getThreadLocalSimpleDateFormat()""); (""getThreadLocalSimpleDateFormat()"", ""obtains"", ""SimpleDateFormat"")"
"The Counter class could have been written like this instead, using a Lock instead of a synchronized block:",
"While isLocked is true, the thread calling lock() is parked waiting in the wait() call.",
"When the thread is done with the code in the critical section (the code between lock() and unlock()), the thread calls unlock().",
"Otherwise, a single call to unlock() will unlock the lock, even if the lock has been locked multiple times.",
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.",
This is how such exclusive access could look using a synchronized block in Java: public class SynchronizedCounter { long count = 0; public void inc() { synchronized(this) { count++; } } public long count() { synchronized(this) { return this.count; } } } Notice how the inc() and count() methods both contain a synchronized block.,"("" SynchronizedCounter"", ""contains"", ""inc() ""); ("" SynchronizedCounter"", ""contains"", ""count() ""); ("" inc()"", ""uses"", ""synchronized ""); ("" count()"", ""uses"", ""synchronized ""); ("" SynchronizedCounter"", ""hasField"", ""count "")"
"import java.util.concurrent.atomic.AtomicBoolean; import java.util.concurrent.atomic.AtomicStampedReference; public class NonblockingTemplate { public static class IntendedModification { public AtomicBoolean completed = new AtomicBoolean(false); } private AtomicStampedReference<IntendedModification> ongoingMod = new AtomicStampedReference<IntendedModification>(null, 0); //declare the state of the data structure here.",
Here is how the lockRead() and unlockRead() methods looks after that change:,"(""lockRead()"", ""Relationship"", ""unlockRead()"")"
Here is how the lockWrite() and unlockWrite() methods look after that change:,"(""lockWrite()"", ""is a method of"", ""unspecified class""); (""unlockWrite()"", ""is a method of"", ""unspecified class"")"
"You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.",
The take() method sends a signal which is stored internally in the Semaphore.,"(""Semaphore"", ""hasMethod"", ""take()"")"
"That way the signal is not missed, even if doNotify() is called before doWait().",
"If you look at the Synchronizer class above and look into this Lock implementation you will notice that threads are now blocked trying to access the lock() method, if more than one thread calls lock() simultanously.",
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.",
"The queueObject.doWait() call is placed outside the synchronized(this) block to avoid nested monitor lockout, so another thread can actually call unlock() when no thread is executing inside the synchronized(this) block in lock() method.",
"Below here is the PoolThreadRunnable class which implements the Runnable interface, so it can be executed by a Java thread:",
"Notice how the add() method returns a new ImmutableValue instance with the result of the add operation, rather than adding the value to itself.",
"The class java.lang.Object defines three methods, wait(), notify(), and notifyAll(), to facilitate this.",
"In other words, the calling thread must call wait() or notify() from inside a synchronized block.",
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called.,"(""notify()"", ""does not save"", ""method calls""); (""notifyAll()"", ""does not save"", ""method calls""); (""notify()"", ""is called"", ""no threads are waiting""); (""notifyAll()"", ""is called"", ""no threads are waiting"")"
"If the doNotify() method had called notifyAll() instead of notify(), all waiting threads had been awakened and checked for signals in turn.",
"The other of C and D would go back to waiting, because the thread discovering the signal clears it on the way out of doWait().",
"The method compareAndSet() allows you to compare the current value of the AtomicBoolean to an expected value, and if current value is equal to the expected value, a new value can be set on the AtomicBoolean.",
"The AtomicInteger class provides you with a int variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",
You can get the value of an AtomicInteger instance via the get() method.,"(""AtomicInteger"", ""hasMethod"", ""get()"")"
Calling addAndGet() is also an atomic operation (like all operations on the AtomicIntegerArray).,"(""AtomicIntegerArray"", ""hasMethod"", ""addAndGet()"")"
You should check out the JavaDoc for the AtomicIntegerArray class to learn more about those methods.,"(""AtomicIntegerArray"", ""hasMethods"", ""methods"")"
"The AtomicLong class provides you with a long variable which can be read and written atomically, and which also contains advanced atomic operations like compareAndSet().",
You can set the value of an AtomicLong instance via the set() method.,"(""AtomicLong"", ""hasMethod"", ""set()"")"
The Java AtomicLongArray class (java.util.concurrent.atomic.AtomicLongArray) represents an array of long .,"(""AtomicLongArray"", ""represents"", ""array of long""); (""java.util.concurrent.atomic.AtomicLongArray"", ""is a"", ""AtomicLongArray"")"
You can get the value of a given element using the get() method on the AtomicLongArray.,"(""AtomicLongArray"", ""hasMethod"", ""get()"")"
You can set the value of a given element using the set() method on the AtomicLongArray.,"(""AtomicLongArray"", ""hasMethod"", ""set()"")"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.",
Notice how it is no longer necessary to cast the referenced returned by get() because the compiler knows it will return a String reference.,
"The compareAndSet() method can compare the reference stored in the AtomicReference instance with an expected reference, and if they two references are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicReference instance.",
If you have a typed AtomicStampedReference then getReference() returns a reference to the type you declared on the AtomicStampedReference variable when you created it.,"(""AtomicStampedReference"", ""hasMethod"", ""getReference()"")"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"(""AtomicStampedReference"", ""contains"", ""getStamp()"")"
"The compareAndSet() method can compare the reference stored in the AtomicStampedReference instance with an expected reference, and the stored stamp with an expected stamp, and if they two references and stamps are the same (not equal as in equals() but same as in ==), then a new reference can be set on the AtomicStampedReference instance.",
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",
"The ConcurrentMap has a few extra atomic methods in addition to the methods it inherits from its superinterface, java.util.Map.",
"The java.util.concurrent.ConcurrentNavigableMap class is a java.util.NavigableMap with support for concurrent access, and which has concurrent access enabled for its submaps.",
"First, the BlockingQueueExample class which starts a Producer and a Consumer in separate threads.",
The Java BlockingQueue add() method will add the element passed as parameter to this method if the BlockingQueue has space for it internally.,"(""BlockingQueue"", ""hasMethod"", ""add()""); (""add()"", ""addsElement"", ""element""); (""BlockingQueue"", ""hasSpaceFor"", ""element"")"
"If the BlockingQueue does not have space internally for this new element, the add() method throws an IllegalStateException.",
The remove() method will use the o.equals(element) to decide if the object o passed as parameter matches a given element in the BlockingQueue.,"(""BlockingQueue"", ""uses"", ""remove()""); (""remove()"", ""uses"", ""o.equals(element)""); (""o"", ""matches"", ""element"")"
"If the BlockingQueue does not contain any elements, the element() method will throw a NoSuchElementException.",
The result of that is that the call() method will return a String.,"(""call()"", ""returns"", ""String"")"
"The Java ExecutorService interface, java.util.concurrent.ExecutorService, represents an asynchronous execution mechanism which is capable of executing tasks concurrently in the background.",
"The Java ExecutorService execute(Runnable) method takes a java.lang.Runnable object, and executes it asynchronously.",
"The invokeAny() method takes a collection of Callable objects, or subinterfaces of Callable.",
The invokeAll() method invokes all of the Callable objects you pass to it in the collection passed as parameter.,"(""invokeAll()"", ""invokes"", ""Callable"")"
The main difference between the Runnable run() method and the Callable call() method is that the call() method can return an Object from the method call.,"(""Runnable"", ""hasMethod"", ""run()""); (""Callable"", ""hasMethod"", ""call()""); (""call()"", ""returns"", ""Object"")"
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",
The awaitTermination() method is typically called after calling shutdown() or shutdownNow().,"(""awaitTermination()"", ""is called after"", ""shutdown()""); (""awaitTermination()"", ""is called after"", ""shutdownNow()"")"
In the following sections I will explain how to use the ReentrantLock class as a Lock.,"(""ReentrantLock"", ""is a"", ""Lock"")"
To unlock the Lock instance you must call its unlock() method.,"(""Lock"", ""hasMethod"", ""unlock()"")"
"To better understand how using a Lock looks different from using a synchronized block, I have created two simple concurrent Counter classes which protects their internal count in different ways.",
"Notice how the calculate() method both locks the Calculator instance's Lock before performing any calculations, and also call the add() and subtract() methods which also locks the lock.",
"If the Lock instance is already locked, the thread calling lock() is blocked until the Lock is unlocked.",
The Java ReentrantLock getHoldCount() method returns the number of times a given thread has locked this Lock instance.,"(""ReentrantLock"", ""hasMethod"", ""getHoldCount()"")"
"The Java CertPath class (java.security.cert.CertPath represents a chain of cryptographic identity certificates (Java Certificate objects), where each certificate is the digital signer of the next certificate in the chain.",
The CertPath getType() method returns a string telling what type of certificates (e.g.,"(""CertPath"", ""hasMethod"", ""getType()""); (""getType()"", ""returns"", ""String""); (""CertPath"", ""returnsType"", ""String"")"
If you want to set a different offset for the dest byte array there is a version of update() and doFinal() which takes an offset parameter extra.,"(""update()"", ""takes"", ""offset parameter""); (""doFinal()"", ""takes"", ""offset parameter"")"
Notice the call to update() and then doFinal() for these two blocks of data.,"(""update()"", ""calls"", ""doFinal()"")"
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"(""KeyPairGenerator"", ""belongs to"", ""java.security""); (""KeyPairGenerator"", ""generates"", ""asymmetric key pair"")"
You create a KeyGenerator instance by calling the static method getInstance() passing as parameter the name of the encryption algorithm to create a key for.,"(""KeyGenerator"", ""method"", ""getInstance()""); (""KeyGenerator"", ""parameter"", ""encryption algorithm"")"
Initializing a KeyGenerator instance is done by calling its init() method.,"(""KeyGenerator"", ""hasMethod"", ""init()"")"
Generating a key is done by calling the KeyGenerator generateKey() method.,"(""KeyGenerator"", ""generateKey"", ""method"")"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"(""KeyPair"", ""hasMethod"", ""getPublic()"")"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"(""KeyPair"", ""hasMethod"", ""getPrivate()"")"
You can create a Java KeyStore instance by calling its getInstance() method.,"(""KeyStore"", ""hasMethod"", ""getInstance()"")"
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"(""Keytool"", ""delete"", ""KeyStore""); (""KeyStore"", ""entry"", ""testkey""); (""KeyStore"", ""stored in"", ""keystore.jks"")"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().",
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.",
Here is an example of how to create a Duration object using the between() method:,"(""Duration"", ""uses"", ""between()"")"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"(""LocalDateTime"", ""hasMethod"", ""now()"")"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,"(""LocalTime"", ""represents"", ""specific time of day""); (""LocalTime"", ""is part of"", ""Java 8 date time API""); (""Java 8 date time API"", ""has"", ""no time zone information"")"
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"(""ZoneId"", ""created by"", ""of()"")"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.",
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,"(""java.sql.Timestamp"", ""extends"", ""java.util.Date"")"
You can get and set the nanoseconds using the getNanos() and setNanos().,"(""getNanos()"", ""is a method of"", ""nanoseconds""); (""setNanos()"", ""is a method of"", ""nanoseconds"")"
The Calendar class has a corresponding set() method so you can set these fields too.,"(""Calendar"", ""has"", ""set()"")"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:",
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"(""Date"", ""implements"", ""Comparable"")"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"(""java.util.TimeZone"", ""is used in conjunction with"", ""java.util.Calendar"")"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(""readNumberFromUrl()"", ""throws"", ""BadUrlException""); (""readNumberFromUrl()"", ""throws"", ""BadNumberException""); (""readDataFromUrl()"", ""throws"", ""BadUrlException""); (""readDataFromUrl()"", ""throws"", ""BadNumberException""); (""converData()"", ""throws"", ""BadUrlException""); (""converData()"", ""throws"", ""BadNumberException"")"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"(""readNumberFromUrl()"", ""declares"", ""ApplicationException"")"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.",
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.",
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"(""Throwable"", ""hasMethod"", ""addSuppressed()""); (""addSuppressed()"", ""takesParameter"", ""Throwable"")"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"(""DecimalFormat"", ""hasMethod"", ""applyPattern()"")"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"(""DecimalFormat.applyLocalizedPattern()"", ""does the same as"", ""DecimalFormat.applyPattern()"")"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"(""Locale"", ""hasMethod"", ""forLanguageTag()""); (""forLanguageTag()"", ""creates"", ""Locale instance"")"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"(""ResourceBundle"", ""hasMethod"", ""getString()""); (""ResourceBundle"", ""hasMethod"", ""getObject()"")"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,"(""MyBundle.properties"", ""is in"", ""i18n"")"
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"(""SimpleDateFormat"", ""hasMethod"", ""format()"")"
The Date instance passed to the format() method is a java.util.Date instance.,"(""Date"", ""passed to"", ""format()""); (""format()"", ""is a"", ""java.util.Date"")"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.",
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"(""SimpleDateFormat"", ""hasMethod"", ""parse()""); (""parse()"", ""returns"", ""java.util.Date""); (""parse()"", ""takes"", ""String"")"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"(""SimpleDateFormat"", ""hasMethod"", ""setTimeZone()"")"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.",
"After that, the while loop exits, and the BufferedInputStream close() method is called.",
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:",
To write data to a Java BufferedOutputStream you can use its write() method.,"(""BufferedOutputStream"", ""hasMethod"", ""write()"")"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"(""BufferedOutputStream"", ""hasMethod"", ""flush()"")"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.",
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.",
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"(""BufferedReader"", ""has"", ""readLine()""); (""readLine()"", ""reads"", ""full line of text""); (""BufferedReader"", ""has"", ""internal buffer"")"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"(""BufferedWriter"", ""hasMethod"", ""flush()""); (""flush()"", ""flushes"", ""data""); (""BufferedWriter"", ""writesTo"", ""underlying data destination"")"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"(""ByteArrayInputStream"", ""hasMethod"", ""mark()"")"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:",
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",
You can read a Java float from the DataInputStream using its readFloat() method.,"(""DataInputStream"", ""hasMethod"", ""readFloat()"")"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"(""DataInputStream"", ""hasMethod"", ""readUnsignedShort()"")"
You can read a Java long from the DataInputStream using its readLong() method.,"(""DataInputStream"", ""hasMethod"", ""readLong()"")"
"To rename (or move) a file, call the method renameTo() on the File class.",
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"(""File"", ""Method"", ""list()""); (""File"", ""Method"", ""listFiles()"")"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"(""File"", ""hasMethod"", ""list()""); (""File"", ""hasMethod"", ""listFiles()"")"
To write data to a Java FileOutputStream you can use its write() method.,"(""FileOutputStream"", ""hasMethod"", ""write()"")"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"(""FileOutputStream"", ""hasMethod"", ""write()"")"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"(""FileOutputStream"", ""hasMethod"", ""close()"")"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"(""FileOutputStream"", ""converted to"", ""OutputStreamWriter"")"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"(""FileWriter"", ""hasMethod"", ""flush()""); (""flush()"", ""flushes"", ""data""); (""flush()"", ""flushes"", ""FileWriter""); (""FileWriter"", ""writesTo"", ""underlying file"")"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"(""FileWriter"", ""hasMethod"", ""flush()"")"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"(""InputStream"", ""contains"", ""readAllBytes()"")"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"(""InputStream"", ""method"", ""readAllBytes()"")"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.",
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"(""InputStreamReader.read()"", ""returns"", ""int""); (""int"", ""contains"", ""char""); (""char"", ""read"", ""char"")"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,
"Like with FilterInputStream, I see no sensible purpose for this class.",
They make it somewhat easier to understand what the classes are targeting.,
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"(""PipedReader"", ""hasMethod"", ""read()""); (""read()"", ""returns"", ""int""); (""int"", ""contains"", ""char value"")"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.",
Closing a Java StringReader can be done using the close() method like this:,"(""StringReader"", ""hasMethod"", ""close()"")"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"(""OutputStream"", ""hasMethod"", ""flush()""); (""flush()"", ""flushes"", ""data""); (""flush()"", ""flushes"", ""data written to the OutputStream""); (""OutputStream"", ""writesTo"", ""underlying data destination"")"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"(""OutputStreamWriter"", ""hasMethod"", ""flush()""); (""flush()"", ""flushes"", ""data""); (""OutputStreamWriter"", ""writesTo"", ""underlying data destination"")"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .",
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"(""Reader"", ""hasMethod"", ""skip()"")"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"(""StreamTokenizer"", ""hasMethod"", ""nextToken()"")"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).",
You will normally use a Writer subclass rather than a Writer directly.,"(""Writer"", ""subclass"", ""Writer"")"
