The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'method', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,"[""('class', 'method', 'method'): (files, moving, moving)""]"
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"[""('method', 'containment', 'class'): (walkfiletree(), extends, simplefilevisitor)""]"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","[""('method', 'method', 'method'): (visitfile(), delete files, postvisitdirectory())""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.",[]
The normalize() method of the Path interface can normalize a path.,"[""('method', 'method', 'interface'): (normalize(), method of, path)""]"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",[]
"You can also attach an object already while registering the Channel with the Selector, in the register() method.","[""('method', 'method', 'class'): (register(), registering, channel)"", ""('method', 'method', 'class'): (register(), registering, selector)"", ""('class', 'association', 'class'): (channel, with, selector)""]"
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,[]
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"[""('class', 'method', 'method'): (classloader, obtain, loadclass())""]"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",[]
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",[]
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"[""('method', 'method', 'method'): (class.getdeclaredfield, call, class.getdeclaredfields)""]"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.","[""('class', 'method', 'method'): (field, access checks turned off by, setaccessible())""]"
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.","[""('method', 'comparison', 'method'): (class.getmethod, return public methods, class.getmethods)""]"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.","[""('class', 'method', 'method'): (reflection, do, class loading)"", ""('class', 'method', 'method'): (reflection, do, reloading)""]"
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",[]
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",[]
"For that, you need to use the find(), start() and end() methods.","[""('method', 'method', 'method'): (find(), utilizes, start())"", ""('method', 'method', 'method'): (find(), utilizes, end())"", ""('method', 'method', 'method'): (start(), utilizes, end())""]"
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.","[""('method', 'comparison', 'method'): (lookingat(), return true, matches())"", ""('method', 'comparison', 'method'): (matches(), return false, lookingat())""]"
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.","[""('class', 'dependency', 'method'): (matcher, keep a state about how far it has searched, find())""]"
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"[""('method', 'replacement', 'method'): (replaceall(), replace parts of the string, replacefirst())""]"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.","[""('method', 'equivalence', 'method'): (matcher, covered in more detail, matcher)""]"
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"[""('class', 'method', 'method'): (gzipinputstream, close, close())""]"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.","[""('method', 'method', 'method'): (checkpersonisvalid, uses, readperson)""]"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.","[""('method', 'method', 'method'): (max(), call to the static max() method, max())""]"
"In other words, as a call to the get() method on the HttpRequestCache singleton.",[]
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"[""('method', 'method', 'class'): (addfactories(), takes, inputstream)""]"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().","[""('class', 'method', 'method'): (httpservletrequest, obtained via, getrequest())"", ""('class', 'method', 'method'): (httpservletresponse, obtained via, getresponse())""]"
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",[]
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"[""('method', 'method', 'interface'): (getresult(), obtained from, iresultsetprocessor)""]"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","[""('method', 'equivalence', 'method'): (hashcode(), compares int id's, equals())""]"
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,[]
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"[""('method', 'method', 'method'): (iobjectmapping.removegettermapping, call, iobjectmapping.removesettermapping)""]"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().","[""('method', 'method', 'method'): (dofirst(), calling, dolast())""]"
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"[""('method', 'method', 'interface'): (and(), combine, predicate)""]"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.","[""('method', 'creation', 'class'): (compose(), composes, function)""]"
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"[""('method', 'dependency', 'interface'): (collections.sort(), takes as parameter, comparator)""]"
The call to the map() method of the Stream interface is a non-terminal operation.,"[""('method', 'method', 'interface'): (map(), call to, stream)""]"
Only the first occurrence of this element will be included in the Stream returned by distinct().,"[""('method', 'containment', 'class'): (distinct(), included in, stream)""]"
"The findFirst() method returns an Optional from which you can obtain the element, if present.",[]
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.","[""('method', 'method', 'interface'): (stream.foreach(), applies, java.util.function.consumer)""]"
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"[""('method', 'dependency', 'interface'): (max(), determined by, comparator)""]"
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"[""('class', 'containment', 'method'): (optional, contains, reduce())""]"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",[]
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.","[""('class', 'method', 'method'): (chunk, utilizes, settextrise())""]"
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.","[""('class', 'method', 'method'): (chunk, utilizes, setunderline())""]"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,"[""('method', 'method', 'class'): (write(), number of bytes copied, bytebuffer)""]"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"[""('method', 'method', 'method'): (put(), batch operation, take())""]"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.","[""('method', 'method', 'method'): (put(), batch operation, take())""]"
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.","[""('method', 'method', 'class'): (consume(), calling, blackhole)""]"
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"[""('class', 'comparison', 'class'): (javax.servlet.http.httpservlet, is a slightly more advanced base class than, javax.servlet.genericservlet)""]"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"[""('class', 'alternative', 'class'): (genericservlet, extend, httpservlet)""]"
Each test method usually tests a single method of the target class.,[]
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",[]
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",[]
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"[""('class', 'containment', 'class'): (bytearrayoutputstream, collect the data written to, outputstream)""]"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,[]
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",[]
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"[""('method', 'method', 'class'): (defragment(), call, bytesallocatormanualdefrag)""]"
The Bytes class represents a byte sequence allocated from a shared byte array.,[]
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.",[]
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.","[""('method', 'method', 'class'): (sync(), calling, channelfuture)""]"
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,[]
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"[""('class', 'method', 'method'): (rionobjectreader, utilizes, readcyclic())""]"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"[""('class', 'method', 'method'): (rionobjectwriter, write, writeacyclic())""]"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"[""('method', 'method', 'method'): (moveinto(), use, moveoutof())""]"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:","[""('method', 'method', 'method'): (writefloat32(), utilizes, writefloat64())""]"
The StreamStorageFS class contains a method to read bytes from a stream block file.,"[""('class', 'method', 'method'): (streamstoragefs, contains a method to, read)""]"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",[]
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"[""('class', 'method', 'method'): (streamstoragerootfs, obtain the root directory path via, getrootdirpath())""]"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.",[]
You can read the data stored in a Buffer using the many get...() methods.,"[""('class', 'containment', 'method'): (buffer, stored in, get...())""]"
Notice the use of / as directory separator and the use of : as classpath entry separator.,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.","[""('class', 'method', 'method'): (httpclientresponse, register another handler on, handle())""]"
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",[]
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"[""('method', 'alternative', 'method'): (send(), can be done via, publish())""]"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"[""('method', 'method', 'method'): (start(), called when the verticle is deployed, stop())"", ""('method', 'method', 'method'): (stop(), called when the verticle is undeployed, start())""]"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"[""('method', 'method', 'interface'): (addall(), takes as parameter, collection)"", ""('method', 'method', 'interface'): (addall(), takes as parameter, list)"", ""('method', 'method', 'interface'): (addall(), takes as parameter, set)""]"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"[""('method', 'dependency', 'method'): (unlock(), execute after, lock())""]"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"[""('method', 'dependency', 'method'): (wait(), requires_lock, notify())"", ""('method', 'dependency', 'method'): (wait(), requires_lock, notifyall())"", ""('method', 'dependency', 'method'): (notify(), requires_lock, notifyall())""]"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.","[""('class', 'containment', 'method'): (arrays, contains, binarysearch())"", ""('class', 'containment', 'method'): (arrays, contains, sort())"", ""('method', 'dependency', 'method'): (binarysearch(), must be sorted, sort())""]"
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"[""('class', 'method', 'method'): (java.lang.threadlocal, set an initial value, get())"", ""('class', 'method', 'method'): (java.lang.threadlocal, set an initial value, set())""]"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,[]
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"[""('method', 'comparison', 'method'): (deque.polllast(), is different than, removelast())""]"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"[""('method', 'comparison', 'method'): (tailset(), works the same way as, headset())""]"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.","[""('interface', 'containment', 'interface'): (iterator, obtain from, list)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, set)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, map)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, queue)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, deque)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, map)""]"
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,"[""('class', 'equivalence', 'class'): (java.io.writer, works just like combining, java.io.reader)"", ""('class', 'equivalence', 'class'): (java.io.writer, works just like combining, java.io.inputstream)"", ""('class', 'equivalence', 'class'): (java.io.writer, works just like combining, java.io.outputstream)""]"
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"[""('method', 'method', 'method'): (wait(), call, notify())""]"
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"[""('class', 'conversion', 'class'): (string, copy the characters from, stringbuilder)""]"
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"[""('method', 'comparison', 'method'): (logp(), work like, log())""]"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,"[""('method', 'dependency', 'method'): (lock(), waiting, wait())"", ""('method', 'cancellation', 'method'): (notify(), passes into oblivion, wait())""]"
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"[""('class', 'containment', 'class'): (pipedoutputstream, is a subclass of, outputstream)""]"
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"[""('class', 'conversion', 'class'): (set, convert to, list)"", ""('class', 'method', 'method'): (set, parameter to, addall())"", ""('class', 'method', 'method'): (list, calling, addall())""]"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,"[""('class', 'association', 'class'): (inputstream, communication happens via, outputstream)""]"
Again here the first() and next() methods return the unicode index of the found word boundary,[]
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"[""('method', 'method', 'method'): (contains(), use, equals())""]"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"[""('class', 'alternative', 'class'): (file, works but in case you want a pure java nio solution use, filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"[""('method', 'alternative', 'method'): (round(), use, floor())"", ""('method', 'alternative', 'method'): (round(), use, ceil())"", ""('method', 'alternative', 'method'): (floor(), or, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"[""('method', 'comparison', 'method'): (poll(), behavior if the queue is empty, remove())"", ""('method', 'method', 'class'): (poll(), removes the first element, queue)"", ""('method', 'method', 'class'): (remove(), removes the first element, queue)""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","[""('method', 'comparison', 'method'): (add(), differ in behavior, offer())""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"[""('method', 'method', 'method'): (ceilingentry(), covered in the following sections, floorentry())"", ""('method', 'method', 'method'): (ceilingentry(), covered in the following sections, higherentry())"", ""('method', 'method', 'method'): (ceilingentry(), covered in the following sections, lowerentry())"", ""('method', 'method', 'method'): (floorentry(), covered in the following sections, higherentry())"", ""('method', 'method', 'method'): (floorentry(), covered in the following sections, lowerentry())"", ""('method', 'method', 'method'): (higherentry(), covered in the following sections, lowerentry())""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"[""('method', 'method', 'method'): (take(), guard the critical section, release())""]"
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"[""('class', 'association', 'class'): (inputstream, read data from, outputstream)"", ""('class', 'association', 'class'): (outputstream, write data to, inputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"[""('method', 'dependency', 'method'): (hashcode(), rely on, equals())""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,[]
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"[""('method', 'method', 'method'): (inputstream.read(), passed to, read())"", ""('method', 'containment', 'class'): (inputstream.read(), passed to, bytebuffer)""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,[]
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"[""('method', 'method', 'method'): (marksupported(), find out if supported, mark())"", ""('method', 'method', 'method'): (marksupported(), find out if supported, reset())"", ""('method', 'method', 'class'): (marksupported(), find out if supported, inputstream)"", ""('method', 'method', 'class'): (marksupported(), find out if supported, bufferedinputstream)"", ""('class', 'method', 'method'): (bufferedinputstream, supports, mark())"", ""('class', 'method', 'method'): (bufferedinputstream, supports, reset())""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","[""('method', 'method', 'method'): (newline(), write a new-line character, flush())""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"[""('method', 'comparison', 'method'): (queue.poll(), is different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"[""('method', 'method', 'method'): (set(), synchronized block, get())""]"
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","[""('method', 'comparison', 'method'): (replace(), insert conditionally, put())"", ""('method', 'comparison', 'method'): (put(), insert unconditionally, replace())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"[""('method', 'alternative', 'method'): (logrb(), work like, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"[""('class', 'dependency', 'class'): (java.util.logging.handler, use, java.util.logging.formatter)"", ""('class', 'dependency', 'class'): (java.util.logging.handler, format, java.util.logging.logrecord)""]"
