The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, reverse the elements of, list)', 'dependency: (reverse, method requires, list)']","[""('class', 'modification', 'class'): (collections, reverse the elements of, list)""]"
The implementation in the class takes precedence over any default implementations.,,[]
"Since the return value of produce() is Object, it can return any Java object.","['return: (produce(), return any, object)']","[""('method', 'return', 'class'): (produce(), return any, object)""]"
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.","['conversion: (car, cast_to, object)']","[""('class', 'conversion', 'class'): (car, cast_to, object)""]"
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.","['dependency: (carproducer, depends_on_generic_type_set, produce())', 'inheritance: (carproducer, follows_method_declaration_of, myproducer)', 'return: (produce(), outputs_same_type_as_specified, myproducer)']","[""('class', 'dependency', 'method'): (carproducer, depends_on_generic_type_set, produce())"", ""('method', 'return', 'interface'): (produce(), outputs_same_type_as_specified, myproducer)""]"
Now the result variable would end up with the value 12.5.,,[]
The example above defines a method called writeText inside a class named MyClass.,"['creation: (myclass, defines, writetext)', 'containment: (myclass, contains, writetext)']","[""('class', 'creation', 'method'): (myclass, defines, writetext)""]"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,,[]
Here is how you run the main class from a Java module JAR file:,,[]
In Java nested classes are classes that are defined inside another class.,,[]
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","['equivalence: (interface, similar to, class)']",[]
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.","['dependency: (cache, requirement, cacheentry)']","[""('class', 'dependency', 'class'): (cache, requirement, cacheentry)""]"
"If the classes A and B are located in the same Java package, there is no problem with the code above.","['dependency: (a, located in the same package as, b)', 'dependency: (a, located in the same package as, java)', 'dependency: (b, located in the same package as, java)']","[""('class', 'dependency', 'class'): (a, located in the same package as, b)""]"
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",,[]
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,,[]
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"['modification: (record, add instance methods to, instance methods)', 'comparison: (record, just like, class)', 'comparison: (instance methods, just like, class)']","[""('class', 'modification', 'method'): (record, add instance methods to, instance methods)"", ""('class', 'comparison', 'class'): (record, just like, class)""]"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"['dependency: (brandaslowercase(), internally calls, brand())']","[""('method', 'dependency', 'method'): (brandaslowercase(), internally calls, brand())""]"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.","['creation: (stringbuilder, creation_of, append())', 'conversion: (stringbuilder, transforms_into, tostring())', 'dependency: (append(), prerequisite_for, tostring())']","[""('class', 'creation', 'method'): (stringbuilder, creation_of, append())"", ""('method', 'dependency', 'method'): (append(), prerequisite_for, tostring())""]"
You can search for substrings in Strings using the indexOf() method.,"['containment: (indexof(), search for substrings in, strings)']","[""('method', 'containment', 'class'): (indexof(), search for substrings in, strings)""]"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"['containment: (string, has_a, lastindexof())', 'traversal: (lastindexof(), finds_the_last_occurrence_of, string)']",[]
The Java String class contains a method called trim() which can trim a string object.,"['containment: (string, contains_method, trim())']",[]
"If not, the default toString() method (inherited from the Object class) will get called.","['inheritance: (tostring(), inherited from, object)']",[]
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"['conversion: (string, translates escape codes using, translateescapes())']",[]
When you create an instance of a class (an object) the object can have methods you can execute.,"['creation: (class, can create, method)']","[""('class', 'creation', 'method'): (class, can create, method)""]"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.","['dependency: (run, requires compilation of, class)']",[]
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.","['comparison: (logrb(), similarity in behavior, log())']","[""('method', 'comparison', 'method'): (logrb(), similarity in behavior, log())""]"
You can obtain the parent Logger of a given Logger using the getParent() method.,"['dependency: (logger, obtain_using, getparent())']","[""('class', 'dependency', 'method'): (logger, obtain_using, getparent())""]"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"['return: (getparameters(), returns the parameters to be inserted into the message of, logrecord)']","[""('method', 'return', 'class'): (getparameters(), returns the parameters to be inserted into the message of, logrecord)""]"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"['return: (getresourcebundle(), returns, resourcebundle)']","[""('method', 'return', 'class'): (getresourcebundle(), returns, resourcebundle)""]"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).","['comparison: (log4j, is another popular java logging api like, slf4j)', 'comparison: (log4j, is another popular java logging api like, apache commons logging)', 'comparison: (log4j, is another popular java logging api like, logback)', 'comparison: (slf4j, is another popular java logging api like, apache commons logging)', 'comparison: (slf4j, is another popular java logging api like, logback)', 'comparison: (apache commons logging, is another popular java logging api like, logback)']",[]
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"['dependency: (datagrampacket, is prerequisite for, receive())']","[""('class', 'dependency', 'method'): (datagrampacket, is prerequisite for, receive())""]"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"['comparison: (url, and, urlconnection)']","[""('class', 'comparison', 'class'): (url, and, urlconnection)""]"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"['dependency: (isdone(), dependency_on, future)', 'return: (read(), returns, future)']","[""('method', 'return', 'class'): (read(), returns, future)""]"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"['dependency: (asynchronousfilechannel, requires calling, write())']","[""('class', 'dependency', 'method'): (asynchronousfilechannel, requires calling, write())""]"
The int returned by the read() method tells how many bytes were written into the Buffer.,"['dependency: (read(), prerequisites for how many bytes were written, buffer)', 'return: (read(), tells how many bytes were written, buffer)']","[""('method', 'return', 'class'): (read(), tells how many bytes were written, buffer)""]"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"['dependency: (write(), guarantee, filechannel)']",[]
You can obtain the current position of the FileChannel object by calling the position() method.,"['dependency: (filechannel, current position obtained by calling, position())']","[""('class', 'dependency', 'method'): (filechannel, current position obtained by calling, position())""]"
The Files.createDirectory() method creates a new directory from a Path instance.,"['creation: (files.createdirectory(), creates, path)']","[""('method', 'creation', 'class'): (files.createdirectory(), creates, path)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,,[]
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"['inheritance: (walkfiletree(), extends, simplefilevisitor)']",[]
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","['dependency: (visitfile(), prerequisite_for_deleting_directories, postvisitdirectory())', 'traversal: (visitfile(), processes_files_in_directories_to_prepare_for_deletion, postvisitdirectory())']","[""('method', 'dependency', 'method'): (visitfile(), prerequisite_for_deleting_directories, postvisitdirectory())""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.","['replacement: (file, replace the use of, path)']",[]
The normalize() method of the Path interface can normalize a path.,,[]
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",,[]
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",,[]
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,,[]
All you need to do is to obtain a ClassLoader and call its loadClass() method.,,[]
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",,[]
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",,[]
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,,[]
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",,[]
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.",,[]
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",,[]
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",,[]
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",,[]
"For that, you need to use the find(), start() and end() methods.",,[]
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.",,[]
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.",,[]
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,,[]
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",,[]
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,,[]
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.",,[]
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",,[]
"In other words, as a call to the get() method on the HttpRequestCache singleton.",,[]
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,,[]
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().",,[]
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",,[]
This is the object is obtained from the getResult() method of the IResultSetProcessor.,,[]
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.",,[]
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,,[]
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,,[]
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().",,[]
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,,[]
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",,[]
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,,[]
The call to the map() method of the Stream interface is a non-terminal operation.,,[]
Only the first occurrence of this element will be included in the Stream returned by distinct().,,[]
"The findFirst() method returns an Optional from which you can obtain the element, if present.",,[]
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.",,[]
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,,[]
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,,[]
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",,[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",,[]
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",,[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",,[]
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",,[]
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",,[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,,[]
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,,[]
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.",,[]
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.",,[]
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,,[]
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,,[]
Each test method usually tests a single method of the target class.,,[]
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",,[]
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",,[]
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,,[]
You may also be able to use the StringReader and StringWriter classes in your unit tests.,,[]
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",,[]
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,,[]
The Bytes class represents a byte sequence allocated from a shared byte array.,,[]
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.",,[]
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.",,[]
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,,[]
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,,[]
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,,[]
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,,[]
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:",,[]
The StreamStorageFS class contains a method to read bytes from a stream block file.,,[]
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",,[]
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,,[]
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.",,[]
You can read the data stored in a Buffer using the many get...() methods.,,[]
Notice the use of / as directory separator and the use of : as classpath entry separator.,,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.",,[]
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",,[]
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,,[]
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,,[]
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,,[]
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,,[]
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,,[]
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.",,[]
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,,[]
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,,[]
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,,[]
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,,[]
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.",,[]
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,,[]
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,,[]
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,,[]
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,,[]
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,,[]
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,,[]
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,,[]
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,,[]
Again here the first() and next() methods return the unicode index of the found word boundary,,[]
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,,[]
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"['comparison: (file, works but in case you want a pure java nio solution use, filechannel)']","[""('class', 'comparison', 'class'): (file, works but in case you want a pure java nio solution use, filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"['comparison: (round(), evaluates_similarity, floor())', 'comparison: (round(), evaluates_similarity, ceil())', 'comparison: (floor(), evaluates_similarity, ceil())']","[""('method', 'comparison', 'method'): (round(), evaluates_similarity, floor())"", ""('method', 'comparison', 'method'): (round(), evaluates_similarity, ceil())"", ""('method', 'comparison', 'method'): (floor(), evaluates_similarity, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"['comparison: (poll(), behavior difference, remove())', 'exception: (remove(), throws an exception if empty, queue)', 'return: (poll(), returns null if empty, queue)']","[""('method', 'comparison', 'method'): (poll(), behavior difference, remove())"", ""('method', 'return', 'class'): (poll(), returns null if empty, queue)""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","['comparison: (add(), differ in behavior if the queue is full, offer())', 'exception: (add(), throws an exception if the queue is full, offer())', 'return: (offer(), returns false if the queue is full, add())']","[""('method', 'comparison', 'method'): (add(), differ in behavior if the queue is full, offer())"", ""('method', 'return', 'method'): (offer(), returns false if the queue is full, add())""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"['containment: (ceilingentry(), covered_with, floorentry())', 'containment: (ceilingentry(), covered_with, higherentry())', 'containment: (ceilingentry(), covered_with, lowerentry())', 'containment: (floorentry(), covered_with, higherentry())', 'containment: (floorentry(), covered_with, lowerentry())', 'containment: (higherentry(), covered_with, lowerentry())']","[""('method', 'containment', 'method'): (ceilingentry(), covered_with, floorentry())"", ""('method', 'containment', 'method'): (ceilingentry(), covered_with, higherentry())"", ""('method', 'containment', 'method'): (ceilingentry(), covered_with, lowerentry())"", ""('method', 'containment', 'method'): (floorentry(), covered_with, higherentry())"", ""('method', 'containment', 'method'): (floorentry(), covered_with, lowerentry())"", ""('method', 'containment', 'method'): (higherentry(), covered_with, lowerentry())""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"['collaboration: (take(), guard the critical section, release())']",[]
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"['collaboration: (inputstream, interacts_with, outputstream)']","[""('class', 'collaboration', 'class'): (inputstream, interacts_with, outputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"['dependency: (hashcode(), correct implementation reliance, equals())']","[""('method', 'dependency', 'method'): (hashcode(), correct implementation reliance, equals())""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"['creation: (java.io.printwriter, creates a, java.io.filewriter)']",[]
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"['creation: (inputstream.read(), creates, asynchronousfilechannel)', 'creation: (inputstream.read(), creates, bytebuffer)', 'containment: (inputstream.read(), passed_to, read())', 'collaboration: (asynchronousfilechannel, interacts_with, bytebuffer)', 'dependency: (asynchronousfilechannel, prerequisite_for, read())', 'dependency: (bytebuffer, condition_for, read())']","[""('method', 'creation', 'class'): (inputstream.read(), creates, asynchronousfilechannel)"", ""('method', 'creation', 'class'): (inputstream.read(), creates, bytebuffer)"", ""('method', 'containment', 'method'): (inputstream.read(), passed_to, read())"", ""('class', 'collaboration', 'class'): (asynchronousfilechannel, interacts_with, bytebuffer)"", ""('class', 'dependency', 'method'): (asynchronousfilechannel, prerequisite_for, read())"", ""('class', 'dependency', 'method'): (bytebuffer, condition_for, read())""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"['dependency: (java.lang.stringbuffer, explains usage of, simpledateformat)']","[""('class', 'dependency', 'class'): (java.lang.stringbuffer, explains usage of, simpledateformat)""]"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"['containment: (bufferedinputstream, wraps, inputstream)']","[""('class', 'containment', 'class'): (bufferedinputstream, wraps, inputstream)""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","['dependency: (newline(), method functionality, flush())']","[""('method', 'dependency', 'method'): (newline(), method functionality, flush())""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"['comparison: (queue.poll(), different than, remove())', 'exception: (remove(), throws an exception if, deque)']","[""('method', 'comparison', 'method'): (queue.poll(), different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"['collaboration: (set(), synchronized_blocks_interaction, get())']",[]
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","['comparison: (replace(), inserts conditionally, put())']","[""('method', 'comparison', 'method'): (replace(), inserts conditionally, put())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"['equivalence: (logrb(), work like, log())']","[""('method', 'equivalence', 'method'): (logrb(), work like, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"['dependency: (logrecord, written_by, java.util.logging)']",[]
